"","Row.names","sentences","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","sentence","total_sentiment"
"53","146","""What's yours?""",0,0,0,0,0,0,0,0,0,0,146,0
"54","147","asked the barman.",0,0,0,0,0,0,0,0,0,0,147,0
"55","148","""Nada.""",0,0,0,0,0,0,0,0,0,0,148,0
"56","149","""Otro loco mas,"" said the barman and turned away.",0,0,0,0,0,0,0,0,0,0,149,0
"58","150","""A little cup,"" said the waiter.",0,0,0,0,0,0,0,0,0,0,150,0
"59","151","The barman poured it for him.",0,0,0,0,0,0,0,0,0,0,151,0
"61","153","The barman looked at him but did not answer.",0,0,0,0,0,0,0,0,0,0,153,0
"63","155","""You want another copita?""",0,0,0,0,0,0,0,0,0,0,155,0
"64","156","the barman asked.",0,0,0,0,0,0,0,0,0,0,156,0
"65","157","""No, thank you,"" said the waiter and went out.",0,0,0,0,0,0,0,0,0,0,157,0
"68","16","""What does it matter if he gets what he's after?""",0,0,0,0,0,0,0,0,0,0,16,0
"69","160","Now, without thinking further, he would go home to his room.",0,0,0,0,0,0,0,0,0,0,160,0
"71","162","After all, he said to himself, it's probably only insomnia.",0,0,0,0,0,0,0,0,0,0,162,0
"72","163","Many must have it.",0,0,0,0,0,0,0,0,0,0,163,0
"73","17","""He had better get off the street now.",0,0,0,0,0,0,0,0,0,0,17,0
"75","19","They went by five minutes ago.""",0,0,0,0,0,0,0,0,0,0,19,0
"77","20","The old man sitting in the shadow rapped on his saucer with his glass.",0,0,0,0,0,0,0,0,0,0,20,0
"79","22","""What do you want?""",0,0,0,0,0,0,0,0,0,0,22,0
"80","23","The old man looked at him.",0,0,0,0,0,0,0,0,0,0,23,0
"82","25","""You'll be drunk,"" the waiter said.",0,0,0,0,0,0,0,0,0,0,25,0
"83","26","The old man looked at him.",0,0,0,0,0,0,0,0,0,0,26,0
"84","27","The waiter went away.",0,0,0,0,0,0,0,0,0,0,27,0
"85","28","""He'll stay all night,"" he said to his colleague.",0,0,0,0,0,0,0,0,0,0,28,0
"86","29","""I'm sleepy now.I never get into bed before three o'clock.",0,0,0,0,0,0,0,0,0,0,29,0
"88","30","He should have killed himself last week.""",0,0,0,0,0,0,0,0,0,0,30,0
"91","33","""You should have killed yourself last week,"" he said to the deafman.",0,0,0,0,0,0,0,0,0,0,33,0
"92","34","The old man motioned with his finger.",0,0,0,0,0,0,0,0,0,0,34,0
"93","35","""A little more,"" hesaid.",0,0,0,0,0,0,0,0,0,0,35,0
"95","37","Thank you,"" the old man said.",0,0,0,0,0,0,0,0,0,0,37,0
"97","39","He sat down at the table with his colleague again.",0,0,0,0,0,0,0,0,0,0,39,0
"99","40","""He's drunk now,"" he said.",0,0,0,0,0,0,0,0,0,0,40,0
"100","41","""He's drunk every night.""",0,0,0,0,0,0,0,0,0,0,41,0
"102","43","""How should I know.""",0,0,0,0,0,0,0,0,0,0,43,0
"103","44","""How did he do it?""",0,0,0,0,0,0,0,0,0,0,44,0
"104","45","""He hung himself with a rope.""",0,0,0,0,0,0,0,0,0,0,45,0
"105","46","""Who cut him down?""",0,0,0,0,0,0,0,0,0,0,46,0
"106","47","""His niece.""",0,0,0,0,0,0,0,0,0,0,47,0
"107","48","""Why did they do it?""",0,0,0,0,0,0,0,0,0,0,48,0
"109","5","""Why?""",0,0,0,0,0,0,0,0,0,0,5,0
"111","51","""He's got plenty.""",0,0,0,0,0,0,0,0,0,0,51,0
"112","52","""He must be eighty years old.""",0,0,0,0,0,0,0,0,0,0,52,0
"113","53","""Anyway I should say he was eighty.""",0,0,0,0,0,0,0,0,0,0,53,0
"114","54","""I wish he would go home.",0,0,0,0,0,0,0,0,0,0,54,0
"116","56","""He stays up because he likes it.""",0,0,0,0,0,0,0,0,0,0,56,0
"119","59","I have a wife waiting in bed for me.""",0,0,0,0,0,0,0,0,0,0,59,0
"121","60","""He had a wife once too.""",0,0,0,0,0,0,0,0,0,0,60,0
"123","62","""You can't tell.",0,0,0,0,0,0,0,0,0,0,62,0
"124","63","He might be better with a wife.""",0,0,0,0,0,0,0,0,0,0,63,0
"125","64","""His niece looks after him.",0,0,0,0,0,0,0,0,0,0,64,0
"126","65","You said she cut him down.""",0,0,0,0,0,0,0,0,0,0,65,0
"127","66","""I know.""",0,0,0,0,0,0,0,0,0,0,66,0
"128","67","""I wouldn't want to be that old.",0,0,0,0,0,0,0,0,0,0,67,0
"130","69","""Not always.",0,0,0,0,0,0,0,0,0,0,69,0
"131","7","""What about?""",0,0,0,0,0,0,0,0,0,0,7,0
"133","71","He drinks without spilling.Even now, drunk.",0,0,0,0,0,0,0,0,0,0,71,0
"134","72","Look at him.""",0,0,0,0,0,0,0,0,0,0,72,0
"135","73","""I don't want to look at him.",0,0,0,0,0,0,0,0,0,0,73,0
"136","74","I wish he would go home.",0,0,0,0,0,0,0,0,0,0,74,0
"137","75","He has no regard for those who must work.""",0,0,0,0,0,0,0,0,0,0,75,0
"138","76","The old man looked from his glass across the square, then over at the waiters.",0,0,0,0,0,0,0,0,0,0,76,0
"142","8","""Nothing.""",0,0,0,0,0,0,0,0,0,0,8,0
"143","80","""Nomore tonight.",0,0,0,0,0,0,0,0,0,0,80,0
"144","81","Close now.""",0,0,0,0,0,0,0,0,0,0,81,0
"145","82","""Another,"" said the old man.",0,0,0,0,0,0,0,0,0,0,82,0
"146","83","""No.",0,0,0,0,0,0,0,0,0,0,83,0
"147","84","Finished.""",0,0,0,0,0,0,0,0,0,0,84,0
"148","85","The waiter wiped the edge of the table with a towel and shook his head.",0,0,0,0,0,0,0,0,0,0,85,0
"149","86","The old man stood up, slowly counted the saucers, took a leathercoin purse from his pocket and paid for the drinks, leaving half a peseta tip.",0,0,0,0,0,0,0,0,0,0,86,0
"151","88","""Why didn't you let him stay and drink?""",0,0,0,0,0,0,0,0,0,0,88,0
"152","89","the unhurried waiter asked.",0,0,0,0,0,0,0,0,0,0,89,0
"153","9","""How do you know it was nothing?""",0,0,0,0,0,0,0,0,0,0,9,0
"154","90","They were putting up the shutters.",0,0,0,0,0,0,0,0,0,0,90,0
"155","91","""It is not half-past two.""",0,0,0,0,0,0,0,0,0,0,91,0
"156","92","""I want to go home to bed.""",0,0,0,0,0,0,0,0,0,0,92,0
"157","93","""What is an hour?""",0,0,0,0,0,0,0,0,0,0,93,0
"158","94","""More to me than to him.""",0,0,0,0,0,0,0,0,0,0,94,0
"159","95","""An hour is the same.""",0,0,0,0,0,0,0,0,0,0,95,0
"161","97","He can buy a bottle and drinkat home.""",0,0,0,0,0,0,0,0,0,0,97,0
"162","98","""It's not the same.""",0,0,0,0,0,0,0,0,0,0,98,0
